*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,,,
[Sample Setup],,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,,,,,KPC,"RGB(176,23,31)",UNKNOWN,FAM,None,,
1,A1,,,,,NDM,"RGB(0,139,69)",UNKNOWN,ROX,None,,
1,A1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
1,A1,,,,,VIM,"RGB(0,0,255)",UNKNOWN,VIC,None,,
25,B1,,,,,IMP,"RGB(139,137,112)",UNKNOWN,FAM,None,,
25,B1,,,,,OXA,"RGB(142,56,142)",UNKNOWN,ROX,None,,
25,B1,,,,,QNR,"RGB(238,121,66)",UNKNOWN,VIC,None,,
49,C1,,,,,MEC A/ MEC C,"RGB(0,245,255)",UNKNOWN,FAM,None,,
49,C1,,,,,VAN A,"RGB(238,220,130)",UNKNOWN,VIC,None,,
49,C1,,,,,VAN B,"RGB(255,127,0)",UNKNOWN,ROX,None,,
73,D1,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
73,D1,,,,,CTX,"RGB(51,161,201)",UNKNOWN,VIC,None,,
73,D1,,,,,DFRA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
73,D1,,,,,SUL 1-2,"RGB(238,44,44)",UNKNOWN,FAM,None,,
97,E1,,,,,KPC,"RGB(176,23,31)",UNKNOWN,FAM,None,,
97,E1,,,,,NDM,"RGB(0,139,69)",UNKNOWN,ROX,None,,
97,E1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
97,E1,,,,,VIM,"RGB(0,0,255)",UNKNOWN,VIC,None,,
121,F1,,,,,IMP,"RGB(139,137,112)",UNKNOWN,FAM,None,,
121,F1,,,,,OXA,"RGB(142,56,142)",UNKNOWN,ROX,None,,
121,F1,,,,,QNR,"RGB(238,121,66)",UNKNOWN,VIC,None,,
145,G1,,,,,MEC A/ MEC C,"RGB(0,245,255)",UNKNOWN,FAM,None,,
145,G1,,,,,VAN A,"RGB(238,220,130)",UNKNOWN,VIC,None,,
145,G1,,,,,VAN B,"RGB(255,127,0)",UNKNOWN,ROX,None,,
169,H1,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
169,H1,,,,,CTX,"RGB(51,161,201)",UNKNOWN,VIC,None,,
169,H1,,,,,DFRA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
169,H1,,,,,SUL 1-2,"RGB(238,44,44)",UNKNOWN,FAM,None,,
193,I1,,,,,KPC,"RGB(176,23,31)",UNKNOWN,FAM,None,,
193,I1,,,,,NDM,"RGB(0,139,69)",UNKNOWN,ROX,None,,
193,I1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
193,I1,,,,,VIM,"RGB(0,0,255)",UNKNOWN,VIC,None,,
217,J1,,,,,IMP,"RGB(139,137,112)",UNKNOWN,FAM,None,,
217,J1,,,,,OXA,"RGB(142,56,142)",UNKNOWN,ROX,None,,
217,J1,,,,,QNR,"RGB(238,121,66)",UNKNOWN,VIC,None,,
241,K1,,,,,MEC A/ MEC C,"RGB(0,245,255)",UNKNOWN,FAM,None,,
241,K1,,,,,VAN A,"RGB(238,220,130)",UNKNOWN,VIC,None,,
241,K1,,,,,VAN B,"RGB(255,127,0)",UNKNOWN,ROX,None,,
265,L1,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
265,L1,,,,,CTX,"RGB(51,161,201)",UNKNOWN,VIC,None,,
265,L1,,,,,DFRA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
265,L1,,,,,SUL 1-2,"RGB(238,44,44)",UNKNOWN,FAM,None,,
289,M1,,,,,KPC,"RGB(176,23,31)",UNKNOWN,FAM,None,,
289,M1,,,,,NDM,"RGB(0,139,69)",UNKNOWN,ROX,None,,
289,M1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
289,M1,,,,,VIM,"RGB(0,0,255)",UNKNOWN,VIC,None,,
313,N1,,,,,IMP,"RGB(139,137,112)",UNKNOWN,FAM,None,,
313,N1,,,,,OXA,"RGB(142,56,142)",UNKNOWN,ROX,None,,
313,N1,,,,,QNR,"RGB(238,121,66)",UNKNOWN,VIC,None,,
337,O1,,,,,MEC A/ MEC C,"RGB(0,245,255)",UNKNOWN,FAM,None,,
337,O1,,,,,VAN A,"RGB(238,220,130)",UNKNOWN,VIC,None,,
337,O1,,,,,VAN B,"RGB(255,127,0)",UNKNOWN,ROX,None,,
361,P1,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
361,P1,,,,,CTX,"RGB(51,161,201)",UNKNOWN,VIC,None,,
361,P1,,,,,DFRA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
361,P1,,,,,SUL 1-2,"RGB(238,44,44)",UNKNOWN,FAM,None,,
2,A2,,,,,KPC,"RGB(176,23,31)",UNKNOWN,FAM,None,,
2,A2,,,,,NDM,"RGB(0,139,69)",UNKNOWN,ROX,None,,
2,A2,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
2,A2,,,,,VIM,"RGB(0,0,255)",UNKNOWN,VIC,None,,
26,B2,,,,,IMP,"RGB(139,137,112)",UNKNOWN,FAM,None,,
26,B2,,,,,OXA,"RGB(142,56,142)",UNKNOWN,ROX,None,,
26,B2,,,,,QNR,"RGB(238,121,66)",UNKNOWN,VIC,None,,
50,C2,,,,,MEC A/ MEC C,"RGB(0,245,255)",UNKNOWN,FAM,None,,
50,C2,,,,,VAN A,"RGB(238,220,130)",UNKNOWN,VIC,None,,
50,C2,,,,,VAN B,"RGB(255,127,0)",UNKNOWN,ROX,None,,
74,D2,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
74,D2,,,,,CTX,"RGB(51,161,201)",UNKNOWN,VIC,None,,
74,D2,,,,,DFRA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
74,D2,,,,,SUL 1-2,"RGB(238,44,44)",UNKNOWN,FAM,None,,
98,E2,,,,,KPC,"RGB(176,23,31)",UNKNOWN,FAM,None,,
98,E2,,,,,NDM,"RGB(0,139,69)",UNKNOWN,ROX,None,,
98,E2,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
98,E2,,,,,VIM,"RGB(0,0,255)",UNKNOWN,VIC,None,,
122,F2,,,,,IMP,"RGB(139,137,112)",UNKNOWN,FAM,None,,
122,F2,,,,,OXA,"RGB(142,56,142)",UNKNOWN,ROX,None,,
122,F2,,,,,QNR,"RGB(238,121,66)",UNKNOWN,VIC,None,,
146,G2,,,,,MEC A/ MEC C,"RGB(0,245,255)",UNKNOWN,FAM,None,,
146,G2,,,,,VAN A,"RGB(238,220,130)",UNKNOWN,VIC,None,,
146,G2,,,,,VAN B,"RGB(255,127,0)",UNKNOWN,ROX,None,,
170,H2,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
170,H2,,,,,CTX,"RGB(51,161,201)",UNKNOWN,VIC,None,,
170,H2,,,,,DFRA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
170,H2,,,,,SUL 1-2,"RGB(238,44,44)",UNKNOWN,FAM,None,,
194,I2,,,,,KPC,"RGB(176,23,31)",UNKNOWN,FAM,None,,
194,I2,,,,,NDM,"RGB(0,139,69)",UNKNOWN,ROX,None,,
194,I2,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
194,I2,,,,,VIM,"RGB(0,0,255)",UNKNOWN,VIC,None,,
218,J2,,,,,IMP,"RGB(139,137,112)",UNKNOWN,FAM,None,,
218,J2,,,,,OXA,"RGB(142,56,142)",UNKNOWN,ROX,None,,
218,J2,,,,,QNR,"RGB(238,121,66)",UNKNOWN,VIC,None,,
242,K2,,,,,MEC A/ MEC C,"RGB(0,245,255)",UNKNOWN,FAM,None,,
242,K2,,,,,VAN A,"RGB(238,220,130)",UNKNOWN,VIC,None,,
242,K2,,,,,VAN B,"RGB(255,127,0)",UNKNOWN,ROX,None,,
266,L2,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
266,L2,,,,,CTX,"RGB(51,161,201)",UNKNOWN,VIC,None,,
266,L2,,,,,DFRA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
