*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,,,
[Sample Setup],,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
1,A1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
1,A1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
1,A1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
25,B1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
25,B1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
25,B1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
25,B1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
49,C1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
49,C1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
49,C1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
49,C1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
73,D1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
73,D1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
73,D1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
73,D1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
97,E1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
97,E1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
97,E1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
97,E1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
121,F1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
121,F1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
121,F1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
121,F1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
145,G1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
145,G1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
145,G1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
145,G1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
169,H1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
169,H1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
169,H1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
169,H1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
193,I1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
193,I1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
193,I1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
193,I1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
217,J1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
217,J1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
217,J1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
217,J1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
241,K1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
241,K1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
241,K1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
241,K1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
265,L1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
265,L1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
265,L1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
265,L1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
289,M1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
289,M1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
289,M1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
289,M1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
313,N1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
313,N1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
313,N1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
313,N1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
337,O1,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
337,O1,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
337,O1,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
337,O1,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
361,P1,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
361,P1,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
361,P1,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
361,P1,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
2,A2,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
2,A2,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
2,A2,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
2,A2,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
26,B2,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
26,B2,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
26,B2,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
26,B2,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
50,C2,,,,,FLU A,"RGB(0,0,255)",UNKNOWN,VIC,None,,
50,C2,,,,,FLU B,"RGB(0,139,69)",UNKNOWN,ROX,None,,
50,C2,,,,,MS2,"RGB(238,238,0)",UNKNOWN,CY5,None,,
50,C2,,,,,SARS-COV-2,"RGB(176,23,31)",UNKNOWN,FAM,None,,
74,D2,,,,,H5N1,"RGB(139,137,112)",UNKNOWN,FAM,None,,
74,D2,,,,,RNASE P,"RGB(238,121,66)",UNKNOWN,VIC,None,,
74,D2,,,,,RSV A,"RGB(142,56,142)",UNKNOWN,ROX,None,,
74,D2,,,,,RSV B,"RGB(198,113,113)",UNKNOWN,CY5,None,,
