*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,
[Sample Setup],,,,,,,,,,
Well,Well Position,Sample Name,Biogroup Name,Biogroup Color,Target Name,Task,Target Color,Quencher,Reporter,Comments
1,A1,1,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
1,A1,1,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
1,A1,1,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
1,A1,1,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
25,B1,1,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
25,B1,1,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
25,B1,1,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
25,B1,1,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
49,C1,1,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
49,C1,1,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
49,C1,1,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
49,C1,1,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
73,D1,1,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
73,D1,1,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
73,D1,1,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
73,D1,1,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
97,E1,1,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
97,E1,1,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
97,E1,1,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
97,E1,1,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
121,F1,1,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
121,F1,1,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
121,F1,1,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
121,F1,1,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
145,G1,1,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
145,G1,1,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
145,G1,1,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
145,G1,1,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
169,H1,1,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
169,H1,1,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
169,H1,1,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
169,H1,1,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
