*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,,,
[Sample Setup],,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,,,,,HSV 1,"RGB(176,23,31)",UNKNOWN,FAM,None,,
1,A1,,,,,HSV 2,"RGB(0,0,255)",UNKNOWN,VIC,None,,
1,A1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
1,A1,,,,,S AGALACTIAE,"RGB(0,139,69)",UNKNOWN,ROX,None,,
25,B1,,,,,CT,"RGB(142,56,142)",UNKNOWN,ROX,None,,
25,B1,,,,,GV,"RGB(238,121,66)",UNKNOWN,VIC,None,,
25,B1,,,,,T PALLIDUM,"RGB(139,137,112)",UNKNOWN,FAM,None,,
49,C1,,,,,M HOMINIS,"RGB(255,127,0)",UNKNOWN,ROX,None,,
49,C1,,,,,NG,"RGB(0,245,255)",UNKNOWN,FAM,None,,
49,C1,,,,,UREAPLASMA SPP,"RGB(238,220,130)",UNKNOWN,VIC,None,,
73,D1,,,,,BACILLUS (EC),"RGB(238,238,0)",UNKNOWN,CY5,None,,
73,D1,,,,,H DUCREYI,"RGB(176,23,31)",UNKNOWN,FAM,None,,
73,D1,,,,,MG,"RGB(0,139,69)",UNKNOWN,ROX,None,,
73,D1,,,,,TV,"RGB(0,0,255)",UNKNOWN,VIC,None,,
97,E1,,,,,HSV 1,"RGB(176,23,31)",UNKNOWN,FAM,None,,
97,E1,,,,,HSV 2,"RGB(0,0,255)",UNKNOWN,VIC,None,,
97,E1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
97,E1,,,,,S AGALACTIAE,"RGB(0,139,69)",UNKNOWN,ROX,None,,
121,F1,,,,,CT,"RGB(142,56,142)",UNKNOWN,ROX,None,,
121,F1,,,,,GV,"RGB(238,121,66)",UNKNOWN,VIC,None,,
121,F1,,,,,T PALLIDUM,"RGB(139,137,112)",UNKNOWN,FAM,None,,
145,G1,,,,,M HOMINIS,"RGB(255,127,0)",UNKNOWN,ROX,None,,
145,G1,,,,,NG,"RGB(0,245,255)",UNKNOWN,FAM,None,,
145,G1,,,,,UREAPLASMA SPP,"RGB(238,220,130)",UNKNOWN,VIC,None,,
169,H1,,,,,BACILLUS (EC),"RGB(238,238,0)",UNKNOWN,CY5,None,,
169,H1,,,,,H DUCREYI,"RGB(176,23,31)",UNKNOWN,FAM,None,,
169,H1,,,,,MG,"RGB(0,139,69)",UNKNOWN,ROX,None,,
169,H1,,,,,TV,"RGB(0,0,255)",UNKNOWN,VIC,None,,
193,I1,,,,,HSV 1,"RGB(176,23,31)",UNKNOWN,FAM,None,,
193,I1,,,,,HSV 2,"RGB(0,0,255)",UNKNOWN,VIC,None,,
193,I1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
193,I1,,,,,S AGALACTIAE,"RGB(0,139,69)",UNKNOWN,ROX,None,,
217,J1,,,,,CT,"RGB(142,56,142)",UNKNOWN,ROX,None,,
217,J1,,,,,GV,"RGB(238,121,66)",UNKNOWN,VIC,None,,
217,J1,,,,,T PALLIDUM,"RGB(139,137,112)",UNKNOWN,FAM,None,,
241,K1,,,,,M HOMINIS,"RGB(255,127,0)",UNKNOWN,ROX,None,,
241,K1,,,,,NG,"RGB(0,245,255)",UNKNOWN,FAM,None,,
241,K1,,,,,UREAPLASMA SPP,"RGB(238,220,130)",UNKNOWN,VIC,None,,
265,L1,,,,,BACILLUS (EC),"RGB(238,238,0)",UNKNOWN,CY5,None,,
265,L1,,,,,H DUCREYI,"RGB(176,23,31)",UNKNOWN,FAM,None,,
265,L1,,,,,MG,"RGB(0,139,69)",UNKNOWN,ROX,None,,
265,L1,,,,,TV,"RGB(0,0,255)",UNKNOWN,VIC,None,,
289,M1,,,,,HSV 1,"RGB(176,23,31)",UNKNOWN,FAM,None,,
289,M1,,,,,HSV 2,"RGB(0,0,255)",UNKNOWN,VIC,None,,
289,M1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
289,M1,,,,,S AGALACTIAE,"RGB(0,139,69)",UNKNOWN,ROX,None,,
