*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,,,
[Sample Setup],,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,,,,,E COLI,"RGB(176,23,31)",UNKNOWN,FAM,None,,
1,A1,,,,,K OYTOCA,"RGB(0,139,69)",UNKNOWN,ROX,None,,
1,A1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
1,A1,,,,,S AGALACTIAE,"RGB(0,0,255)",UNKNOWN,VIC,None,,
25,B1,,,,,A URINAE,"RGB(198,113,113)",UNKNOWN,CY5,None,,
25,B1,,,,,P MIRABILIS,"RGB(142,56,142)",UNKNOWN,ROX,None,,
25,B1,,,,,S MARCESCENS,"RGB(238,121,66)",UNKNOWN,VIC,None,,
25,B1,,,,,S SAPROPHYTICUS,"RGB(139,137,112)",UNKNOWN,FAM,None,,
49,C1,,,,,C FREUNDII,"RGB(142,142,56)",UNKNOWN,CY5,None,,
49,C1,,,,,E CLOACAE,"RGB(238,220,130)",UNKNOWN,VIC,None,,
49,C1,,,,,P AERUGINOSA,"RGB(255,127,0)",UNKNOWN,ROX,None,,
49,C1,,,,,T PALLIDUM,"RGB(0,245,255)",UNKNOWN,FAM,None,,
73,D1,,,,,C UREALYTICUM,"RGB(176,23,31)",UNKNOWN,CY5,None,,
73,D1,,,,,K AEROGENES,"RGB(238,44,44)",UNKNOWN,FAM,None,,
73,D1,,,,,K PNEUMONIAE,"RGB(51,161,201)",UNKNOWN,VIC,None,,
73,D1,,,,,M MORANELLA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
97,E1,,,,,A BAUMANNII,"RGB(238,238,0)",UNKNOWN,ROX,None,,
97,E1,,,,,E FAECALIS,"RGB(0,139,69)",UNKNOWN,VIC,None,,
97,E1,,,,,E FAECIUM,"RGB(0,0,255)",UNKNOWN,FAM,None,,
97,E1,,,,,P VULGARIS,"RGB(139,137,112)",UNKNOWN,CY5,None,,
121,F1,,,,,S AUREUS,"RGB(238,121,66)",UNKNOWN,FAM,None,,
121,F1,,,,,UREAPLASMA SPP,"RGB(142,56,142)",UNKNOWN,ROX,None,,
145,G1,,,,,C ALBICANS,"RGB(198,113,113)",UNKNOWN,FAM,None,,
145,G1,,,,,C GLABRATA,"RGB(0,245,255)",UNKNOWN,VIC,None,,
145,G1,,,,,C PARAPSILOSIS,"RGB(238,220,130)",UNKNOWN,ROX,None,,
145,G1,,,,,P STUARTII,"RGB(255,127,0)",UNKNOWN,CY5,None,,
169,H1,,,,,BACILLUS (EC),"RGB(238,18,137)",UNKNOWN,CY5,None,,
169,H1,,,,,C AURIS,"RGB(51,161,201)",UNKNOWN,ROX,None,,
169,H1,,,,,C KRUSEI,"RGB(238,44,44)",UNKNOWN,VIC,None,,
169,H1,,,,,C TROPICALIS,"RGB(142,142,56)",UNKNOWN,FAM,None,,
193,I1,,,,,E COLI,"RGB(176,23,31)",UNKNOWN,FAM,None,,
193,I1,,,,,K OYTOCA,"RGB(0,139,69)",UNKNOWN,ROX,None,,
193,I1,,,,,RNASE P,"RGB(238,238,0)",UNKNOWN,CY5,None,,
193,I1,,,,,S AGALACTIAE,"RGB(0,0,255)",UNKNOWN,VIC,None,,
217,J1,,,,,A URINAE,"RGB(198,113,113)",UNKNOWN,CY5,None,,
217,J1,,,,,P MIRABILIS,"RGB(142,56,142)",UNKNOWN,ROX,None,,
217,J1,,,,,S MARCESCENS,"RGB(238,121,66)",UNKNOWN,VIC,None,,
217,J1,,,,,S SAPROPHYTICUS,"RGB(139,137,112)",UNKNOWN,FAM,None,,
241,K1,,,,,C FREUNDII,"RGB(142,142,56)",UNKNOWN,CY5,None,,
241,K1,,,,,E CLOACAE,"RGB(238,220,130)",UNKNOWN,VIC,None,,
241,K1,,,,,P AERUGINOSA,"RGB(255,127,0)",UNKNOWN,ROX,None,,
241,K1,,,,,T PALLIDUM,"RGB(0,245,255)",UNKNOWN,FAM,None,,
265,L1,,,,,C UREALYTICUM,"RGB(176,23,31)",UNKNOWN,CY5,None,,
265,L1,,,,,K AEROGENES,"RGB(238,44,44)",UNKNOWN,FAM,None,,
265,L1,,,,,K PNEUMONIAE,"RGB(51,161,201)",UNKNOWN,VIC,None,,
265,L1,,,,,M MORANELLA,"RGB(238,18,137)",UNKNOWN,ROX,None,,
289,M1,,,,,A BAUMANNII,"RGB(238,238,0)",UNKNOWN,ROX,None,,
289,M1,,,,,E FAECALIS,"RGB(0,139,69)",UNKNOWN,VIC,None,,
289,M1,,,,,E FAECIUM,"RGB(0,0,255)",UNKNOWN,FAM,None,,
289,M1,,,,,P VULGARIS,"RGB(139,137,112)",UNKNOWN,CY5,None,,
